DDL_NAME|ENTITY_NAME|ELEMENT_NAME|BASE_OBJECT|BASE_FIELD|IS_CALCULATED
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY4|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY4|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY5|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY5|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY6|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY6|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY7|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY7|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY8|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY8|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFUNCTIONALCRCY|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFUNCTIONALCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINGLOBALCRCY|I_GLACCOUNTLINEITEM|CREDITAMOUNTINGLOBALCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINTRANSCRCY|I_GLACCOUNTLINEITEM|CREDITAMOUNTINTRANSCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITRISKCLASS|ACDOCA|RISK_CLASS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMER|ACDOCA|KUNNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMERBASICAUTHORIZATIONGRP|I_GLACCOUNTLINEITEM|CUSTOMERBASICAUTHORIZATIONGRP|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMERGROUP|ACDOCA|KDGRP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMERSERVICENOTIFICATION|ACDOCA|QMNUM|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMERSUPPLIERCORPORATEGROUP|ACDOCA|KONZS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMERSUPPLIERCOUNTRY|ACDOCA|LAND1|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUSTOMERSUPPLIERINDUSTRY|ACDOCA|BRSCH|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUTBACKACCOUNT|ACDOCA|CBRACCT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUTBACKCOSTOBJECT|ACDOCA|CBOBJNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CUTBACKRUN|ACDOCA|CBRUNID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINBALANCETRANSCRCY|I_GLACCOUNTLINEITEM|DEBITAMOUNTINBALANCETRANSCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINCOCODECRCY|I_GLACCOUNTLINEITEM|DEBITAMOUNTINCOCODECRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY1|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY1|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY2|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY2|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY3|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY3|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY4|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY4|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY5|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY5|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY6|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY6|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY7|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY7|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY8|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFREEDEFINEDCRCY8|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFUNCTIONALCRCY|I_GLACCOUNTLINEITEM|DEBITAMOUNTINFUNCTIONALCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINGLOBALCRCY|I_GLACCOUNTLINEITEM|DEBITAMOUNTINGLOBALCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITAMOUNTINTRANSCRCY|I_GLACCOUNTLINEITEM|DEBITAMOUNTINTRANSCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEBITCREDITCODE|ACDOCA|DRCRK|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DEPRECIATIONFISCALPERIOD|ACDOCA|DEPR_PERIOD|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DISTRIBUTIONCHANNEL|ACDOCA|VTWEG|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DOCUMENTDATE|ACDOCA|BLDAT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|DOCUMENTITEMTEXT|ACDOCA|SGTXT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|EARMARKEDFUNDSDOCUMENT|ACDOCA|KBLNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|EARMARKEDFUNDSDOCUMENTITEM|ACDOCA|KBLPOS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ELIMINATIONPROFITCENTER|ACDOCA|EPRCTR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|EQUIPMENT|ACDOCA|EQUNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALACCOUNTTYPE|ACDOCA|KOART|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALCLOSINGSTEP|ACDOCA|CLOSINGSTEP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALDATASOURCE|ACDOCA|DATASOURCE_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALMANAGEMENTAREA|ACDOCA|FIKRS|
