02.09.2026                                                                                                                                                                Dynamic List Display                                                                                                                                                                                                                         1

Table: T059P

	MANDT	LAND1	WITHT	WT_TPNR	WT_ACCPT	WT_ACCALL	WT_ACCTMAX	WT_WTRD	WT_CEINV	WT_BASE	WT_DOPOST	WT_POSTM	WT_ALWT	WT_WTDSC	WT_SLFWT	WT_WTDP	WT_MANUAL	WT_MAINTB	WT_MAINTA	WT_REDBAS	WT_WTINV	REGIO	TDFORM	WT_BCPLVL	WT_CTNBRL	WT_MANBAS	KSCHL	J_1BSUMVAL	J_1BTEXKEY	WT_KURST	WT_INHERITBASE	WT_NOREDUCTION	J_1AFORMAT	KSCHL_TX	J_1BWHTBASE_NF	ALL_TAX_CODES	J_DAILY_ACC	TEXT40
	500	IN	48	    119	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								19EAdv-Non Residents(Non-corp)
	500	IN	49	    000	0			00		2	X	1		X		    000		2	2					0	X	X				TTB								194E-Inv-Non Residents(Corp)sports
	500	IN	4A	    160	0			01		1	X	1				    000	X	2	2						X	X				TTB								393(1) - Resident TDS
	500	IN	4B	    161	0			01		1	X	1				    000		2	2						X	X				TTB								393(1) - Resident TDS - Material
	500	IN	4C	    162	0			01		2	X	1				    000	X	2	2						X	X				TTB								393(2)-Non Res-Company
	500	IN	4D	    163	0			01		2	X	1				    000	X	2	2						X	X				TTB								393(2)-Non Res-Non Company
	500	IN	4E	    164	0			01		1	X	1				    000	X	2	2						X	X				TTB								393(3) - Resident TDS Spl Nature
	500	IN	4F	    165	0			01		1	X	1				    000	X	2	2						X	X				TTB								397(2) - Resident - No PAN
	500	IN	4G	    166	0			01		2	X	1				    000	X	2	2						X	X												394(1) - Resident TCS
	500	IN	4H	    167	0			01		2	X	1				    000	X	2	2						X	X												394(1) - Non-Resident TCS
	500	IN	4I	    168	0			01		2	X	1				    000	X	2	2						X	X												397(2) - Resident TCS - No PAN
	500	IN	4Q	    154	0			01		1	X	1				    000		2	2						X	X				TTB								Section 194Q - TDS on Purchase of goods
	500	IN	50	    000	0			01		2	X	1				    000		2	2						X	X												Tax collection at source
	500	IN	51	    000	0			00		2	X	1				    000	X	2	2						X	X				TTB								195-Inv-Non Residents(Corp)-Sec 44BB
	500	IN	52	    092	0			00		2	X	1				    000		2	2						X	X												VAT UNDER  EWT
	500	IN	53	    093	A			00		2	X	1				    000		2	2						X	X												194J-Inv-Professionals(Corp)
	500	IN	55	    000	0			00		2	X	1				    000		2	2						X	X												Service Tax
	500	IN	56	    000	0			00		2	X	1				    000		2	2						X	X												Service tax 10.30% borne by ongc
	500	IN	57	    000	0			00		2	X	1				    000		2	2						X	X												Service tax on 25% value borne by ongc
	500	IN	58	    000	0			00		2	X	1				    000		2	2						X	X												Service  tax on 25% value
	500	IN	59	    000	0			00		2	X	1				    000		2	2						X	X				M								Service Tax (Old)
	500	IN	5A	    147	0			01		2	X	1				    000		2	2						X	X												TCS Scrap, Minerals & Motor Vehicle 2018
	500	IN	5B	    148	0			01		2	X	1				    000		2	2						X	X												TCS - Lease /Licence wef 01.04.2018
	500	IN	5C	    153	0			01		2	X	1				    000		2	2						X	X												TCS u/s 206(1H) wef 01.10.2020
	500	IN	5D	    156	0			01		2	X	1				    000	X	2	2						X	X												TDS u/s 194O e-Commerce sale
	500	IN	5Q	    155	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194Q TDS on sale Of Goods (Advance)
	500	IN	60	    000	0			01		2	X	1				    000		2	2						X	X												194A-(INV) INT.OTH.THAN INT.ON SECURITIY
	500	IN	61	    100	0			01		2	X	1				    000		2	2						X	X												192- Income under the head Salary
	500	IN	62	    102	0			01		2	X	1				    000		2	2						X	X												194A-(INV) INT.OTH.THAN INT.ON SECURITIY
	500	IN	63	    000	0			01	1	2	X	2		X		    000		2	2					0	X	X												194A-(ADV)INT.OTH.THAN INT.ON  SECURTIES
	500	IN	64	    103	0			01	1	2	X	2		X		    000		2	2					0	X	X												194A-(ADV)INT.OTH.THAN INT.ON  SECURTIES
	500	IN	65	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194C- INV CONTRACTOR INDIVIDUAL/HUF
	500	IN	66	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194C-(INV) TRPT. CONT. 0% IF PAN QUOTED
	500	IN	67	    000	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194C-(ADV) INDIVIDUAL/HUF
