02.09.26 Dynamic List Display                                                  1

Table: T059U

	MANDT	SPRAS	LAND1	WITHT	TEXT40
	500	EN	IN	9S	193-INV-Other than Company
	500	EN	IN	9T	193-INV-Company
	500	EN	IN	A1	194A-Inv-Other Interest(Corp)
	500	EN	IN	A2	194A-Inv-Other Interest(Non-Corp)
	500	EN	IN	AA	194A-Adv-Other Interest(Corp)
	500	EN	IN	AB	194A-Adv-Other Interest(Non-Corp)
	500	EN	IN	AC	194C-Adv-Contractors(Corp)-EDU CESS
	500	EN	IN	AD	195-Adv-Non Res(Corp)-Sec 44D-EDU CESS
	500	EN	IN	AG	IN:TDS GST INTRA STATE FOR TESTING
	500	EN	IN	AH	194H-Adv-Commn / Broker (Corp)-EDU CESS
	500	EN	IN	AI	194I-Adv-Rent(Corp)- EDU CESS
	500	EN	IN	AJ	194J-Adv-Professionals(Corp) - EDU CESS
	500	EN	IN	B1	195-Inv-Non Residents(Corp)-Sec 44BB
	500	EN	IN	B2	195-Inv-Non Residents(Non-Corp)-Sec 44BB
	500	EN	IN	BA	195-Adv-Non Residents(Corp)-Sec 44BB
	500	EN	IN	BB	195-Adv-Non Resident(Non-Corp)-Sec 44 BB
	500	EN	IN	BC	194C-Adv-Sub-Contractors(Corp)-EDU CESS
	500	EN	IN	BD	195-Adv-Non Res(Non-Corp)-Sec 44D-EDU CE
	500	EN	IN	BE	194A-Adv-Other Int(Non-Corp)-EDU CESS
	500	EN	IN	BH	194H-Adv-Commn / Broker (N-Corp)-EDU CES
	500	EN	IN	BI	194I-Adv-Rent(Non-Corp)- EDU CESS
	500	EN	IN	BJ	194J-Adv-Profes(Non-Corp) - EDU CESS
	500	EN	IN	C1	194C-Inv-Contractors(Corp)
	500	EN	IN	C2	194C-Inv-Sub Contractors(Corp)
	500	EN	IN	C3	194C-Inv-Advtg Contractors(Corp)
	500	EN	IN	C6	194C-Inv-Contractors(Non-Corp)
	500	EN	IN	C7	194C-Inv-Sub Contractors(Non-Corp)
	500	EN	IN	C8	194C-Inv-Advtg Contractors(Non-Corp)
	500	EN	IN	CA	194C-Adv-Contractors(Corp)
	500	EN	IN	CB	194C-Adv-Sub-Contractors(Corp)
	500	EN	IN	CF	194C-Adv-Contractors(Non-Corp)
	500	EN	IN	CG	IN:TDS ON  CGST (INV)
